Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
Low-Cost Flat,Johor Bahru,Tebrau,TMN CEMPAKA,   ,July 2024,Leasehold,46.40,sq.m,-,-,3,"RM135,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Johor Bahru,Bandar Johor Bahru,KAW ABDUL SAMAD/MARIAMAH,JLN ABD SAMAD,July 2024,Freehold,531.15,sq.m,98,sq.m,    ,"RM778,000.00","JLN ABD SAMAD, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Semi-Detached,Seberang Perai Tengah,15,TAMAN JASA RIA (JESSELTON HILLS),JALAN JASA INDAH,August 2024,Freehold,391.00,sq.m,244,sq.m,    ,"RM1,194,000.00","JALAN JASA INDAH, Seberang Perai Tengah, Malaysia",5.3175435,100.4875767,Yes,Yes,No,No,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,TMN BUKIT MALURI,LRG BURUNG SINTAR 2,August 2024,Leasehold,164.00,sq.m,128,sq.m,    ,"RM1,115,000.00","LRG BURUNG SINTAR 2, Kuala Lumpur, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Bedong,TMN EMAS (BEDONG),LRG EMAS 3,October 2024,Freehold,132.00,sq.m,79,sq.m,    ,"RM160,000.00","LRG EMAS 3, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Johor Bahru,Tebrau,TMN JOHOR,JLN PANTI,September 2024,Freehold,376.44,sq.m,104,sq.m,    ,"RM638,000.00","JLN PANTI, Johor Bahru, Malaysia",1.5157579,103.6937998,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,DESA PARK CITY (ADIVA),PERSIARAN RESIDEN,May 2024,Freehold,95.00,sq.m,178,sq.m,    ,"RM1,730,000.00","PERSIARAN RESIDEN, Kuala Lumpur, Malaysia",3.1879967,101.6260802,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Bachok,Gajah Mati,KG BERIS PANCHOR ( TAWANG), OFF JLN TAWANG PL 2775,February 2024,Freehold,405.00,sq.m,107,sq.m,    ,"RM330,000.00","OFF JLN TAWANG PL 2775, Bachok, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Seberang Perai Tengah,20,TAMAN SERI MENGKUANG,LORONG SERI MENGKUANG 6,July 2024,Freehold,434.00,sq.m,264,sq.m,    ,"RM660,000.00","LORONG SERI MENGKUANG 6, Seberang Perai Tengah, Malaysia",5.4129715,100.4834387,Yes,Yes,No,No,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Plentong,TG PUTERI RESORT,OFF JLN SENANGIN 5,February 2024,Freehold,121.00,sq.m,71,sq.m,    ,"RM358,000.00","OFF JLN SENANGIN 5, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
Town House,Kuala Lumpur,Mukim Kuala Lumpur,BANGSAR RIA TOWNHOUSE,   ,February 2024,Freehold,144.00,sq.m,-,-,G,"RM1,850,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN UNIVERSITI,JLN KEBANGSAAN 37,April 2024,Freehold,121.00,sq.m,77,sq.m,    ,"RM450,000.00","JLN KEBANGSAAN 37, Johor Bahru, Malaysia",1.533448,103.6283594,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Bkt Baru,TAMAN BUKIT BARU INDAH,OFF JLN BUKIT BARU- DUYONG,October 2024,Freehold,394.00,sq.m,103,sq.m,    ,"RM492,000.00","OFF JLN BUKIT BARU- DUYONG, Melaka Tengah, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Petaling,Pekan Kinrara,BK 5 - PERUMAHAN KINRARA,JLN BK 5/8B,July 2024,Freehold,130.06,sq.m,137,sq.m,    ,"RM715,000.00","JLN BK 5/8B, Petaling, Malaysia",3.0431015,101.6472671,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Bkt Katil,TMN MUZAFFAR SHAH,JALAN SERI RAYA 6,August 2024,Leasehold,143.00,sq.m,104,sq.m,    ,"RM280,000.00","JALAN SERI RAYA 6, Melaka Tengah, Malaysia",2.2187478,102.2509913,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Seremban,Bandar Seremban,TAMAN LUCKY,JLN RASAH,October 2024,Freehold,143.07,sq.m,102,sq.m,    ,"RM260,000.00","JLN RASAH, Seremban, Malaysia",2.691934,101.9349638,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Johor Bahru,Pulai,TMN TAMPOI INDAH,   ,April 2024,Leasehold,79.00,sq.m,-,-,17,"RM380,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Timur Laut,13,TROPICANA BAY RESIDENCES,   ,September 2024,Freehold,94.76,sq.m,-,-,8,"RM718,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Seberang Perai Tengah,6,TAMAN PAUH INDAH,LINTANG PAUH INDAH 4,September 2024,Freehold,346.00,sq.m,250,sq.m,    ,"RM1,100,000.00","LINTANG PAUH INDAH 4, Seberang Perai Tengah, Malaysia",5.3736848,100.4195657,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Perlis,Ngulang,RPA MATA AYER III,JALAN RAMBUTAN 2,March 2024,Leasehold,119.00,sq.m,63,sq.m,    ,"RM185,000.00","JALAN RAMBUTAN 2, Perlis, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Seberang Perai Utara,12,SCIENTEX SUNGAI DUA,JALAN DESA SENA,July 2024,Freehold,140.00,sq.m,99,sq.m,    ,"RM360,000.00","JALAN DESA SENA, Seberang Perai Utara, Malaysia",5.4862695,100.46321,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Seremban,Labu,EKA HEIGHTS - PRECINCT 3A,OFF JLN SENDAYAN,May 2024,Freehold,130.00,sq.m,125,sq.m,    ,"RM380,000.00","OFF JLN SENDAYAN, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN UNGKU TUN AMINAH,JLN PENDEKAR 4,October 2024,Freehold,143.00,sq.m,88,sq.m,    ,"RM520,000.00","JLN PENDEKAR 4, Johor Bahru, Malaysia",1.5155189,103.6531351,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Cluster House,Jasin,Jasin,BANDAR SCIENTEX JASIN,JLN BSJ,August 2024,Freehold,223.00,sq.m,143,sq.m,    ,"RM455,000.00","JLN BSJ, Jasin, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Petaling,Bdr Petaling Jaya Selatan,PJS 5-JLN 5/2A-5/18,   ,May 2024,Leasehold,60.38,sq.m,-,-,7,"RM150,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Mersing,Mersing,TAMAN LAGENDA SURIA,LAGENDA SURIA FASA 1A,August 2024,Freehold,256.69,sq.m,82,sq.m,    ,"RM343,000.00","LAGENDA SURIA FASA 1A, Mersing, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Sungai Petani,PERUMAHAN RAKYAT 1 MALAYSIA (PRIMA-OSK),JLN PRIMA 3,February 2024,Freehold,456.00,sq.m,81,sq.m,    ,"RM403,000.00","JLN PRIMA 3, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Timur Laut,Ayer Itam,FLAT RIFLE RANGE,   ,September 2024,Leasehold,35.00,sq.m,-,-,5,"RM60,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Johor Bahru,Pulai,BDR UDA UTAMA,BDR UDA UTAMA,June 2024,Freehold,120.77,sq.m,120,sq.m,    ,"RM751,000.00","BDR UDA UTAMA, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Petaling,Bandar Petaling Jaya,SS 23 TMN SEA,JLN SS 23/33,May 2024,Freehold,109.00,sq.m,109,sq.m,    ,"RM910,000.00","JLN SS 23/33, Petaling, Malaysia",3.1211786,101.6095738,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuantan,Penor,PERUMAHAN QORDZIA UJANA @ PERSIS UJANA,LORONG BKP 92,September 2024,Leasehold,121.00,sq.m,84,sq.m,    ,"RM218,000.00","LORONG BKP 92, Kuantan, Malaysia",3.7171946,103.3147474,Yes,No,No,No,No,No,Yes,No,No
1 - 1 1/2 Storey Terraced,Kulai,Kulai,TMN SENAI UTAMA,JLN SENAI UTAMA 3/1/5,May 2024,Freehold,143.00,sq.m,84,sq.m,    ,"RM450,000.00","JLN SENAI UTAMA 3/1/5, Kulai, Malaysia",1.6087516,103.6417209,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
Detached,Jasin,Ayer Panas,TMN ANJUNG GAPAM,JLN AG,July 2024,Leasehold,372.00,sq.m,178,sq.m,    ,"RM632,000.00","JLN AG, Jasin, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,PANTAI HILLPARK APARTMENT,   ,May 2024,Leasehold,137.00,sq.m,-,-,1,"RM560,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Barat Daya,11,EMERALD RESIDENCE,   ,April 2024,Freehold,104.00,sq.m,-,-,12,"RM532,000.00","Barat Daya, Malaysia",5.3356587,100.2389496,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Krubong,TMN KRUBONG JAYA,JALAN KJ 32,March 2024,Leasehold,156.00,sq.m,111,sq.m,    ,"RM365,000.00","JALAN KJ 32, Melaka Tengah, Malaysia",2.2934727,102.2366492,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Tangkak,Serom,TMN KANGKAR JAYA - TR 288,JLN WAJA 2,May 2024,Freehold,148.00,sq.m,86,sq.m,    ,"RM358,000.00","JLN WAJA 2, Tangkak, Malaysia",2.1769537,102.5533414,Yes,No,No,No,Yes,No,Yes,Yes,No
2 - 2 1/2 Storey Terraced,Sepang,Dengkil,TMN PUTRA PERDANA,JLN PP 13/11,August 2024,Leasehold,141.42,sq.m,125,sq.m,    ,"RM445,000.00","JLN PP 13/11, Sepang, Malaysia",2.9398069,101.6019508,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Petaling,Pekan Subang Jaya,USJ 12,JALAN USJ 12/1,November 2024,Freehold,371.00,sq.m,229,sq.m,    ,"RM1,150,000.00","JALAN USJ 12/1, Petaling, Malaysia",3.0394592,101.5740925,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Sepang,Dengkil,CYBERJAYA (PERDANA LAKE VIEW),   ,May 2024,Freehold,94.00,sq.m,-,-,1,"RM613,000.00","Sepang, Malaysia",2.8008619,101.7094012,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Sungai Petani,BANDAR AMANJAYA (ZON ANGGERIK),JLN ANGGERIK 2/3,February 2024,Freehold,175.80,sq.m,74,sq.m,    ,"RM225,000.00","JLN ANGGERIK 2/3, Kuala Muda, Malaysia",5.6422534,100.5493275,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Low-Cost Flat,Johor Bahru,Plentong,BDR SERI ALAM,   ,June 2024,Freehold,61.00,sq.m,-,-,5,"RM150,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Larut Matang,Pengkalan Aor,TMN PENGKALAN UTAMA (AOR UTAMA), LORONG UTAMA 11,February 2024,Leasehold,123.00,sq.m,135,sq.m,    ,"RM370,000.00","LORONG UTAMA 11, Larut Matang, Malaysia",4.8194333,100.6965868,Yes,Yes,No,No,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Kuantan,Kuala Kuantan,PECAHAN LOT : PT 106958,JALAN IM 2/,February 2024,Freehold,256.00,sq.m,199,sq.m,    ,"RM598,000.00","JALAN IM 2/, Kuantan, Malaysia",3.8404264,103.2766416,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuantan,Sungai Karang,P/L 26784,LORONG SEBERANG BALOK AMAN 1/1,September 2024,Freehold,111.00,sq.m,74,sq.m,    ,"RM250,000.00","LORONG SEBERANG BALOK AMAN 1/1, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Kampar,Mukim Kampar,KAMPAR LAKE CAMPUS CONDOMINIUM,   ,March 2024,Leasehold,101.00,sq.m,-,-,5,"RM455,000.00","Kampar, Malaysia",4.30066,101.1614462,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Seberang Perai Tengah,15,TMN SERI KIJANG,LRG SERI KIJANG 25,May 2024,Freehold,103.00,sq.m,59,sq.m,    ,"RM365,000.00","LRG SERI KIJANG 25, Seberang Perai Tengah, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Hulu Langat,Ampang,TMN AMPANG JAYA,JALAN 9A,May 2024,Leasehold,146.23,sq.m,76,sq.m,    ,"RM399,000.00","JALAN 9A, Hulu Langat, Malaysia",3.1596733,101.7592839,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Condominium/Apartment,Kuala Lumpur,Mukim Batu,MIZUMI RESIDENCES,   ,May 2024,Leasehold,87.00,sq.m,-,-,24,"RM500,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Manjung,Sitiawan,TAMAN SAUJANA MANJUNG,KG PERMATANG-SITIAWAN,October 2024,Leasehold,100.00,sq.m,122,sq.m,    ,"RM330,000.00","KG PERMATANG-SITIAWAN, Manjung, Malaysia",4.1920613,100.6912229,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Cluster House,Johor Bahru,Pulai,TMN ECO BOTANIC,JLN ECO BOTANI 2/13,July 2024,Freehold,208.00,sq.m,191,sq.m,    ,"RM1,200,000.00","JLN ECO BOTANI 2/13, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
Town House,Gombak,Pekan Kuang,IMPIAN INDAH (PECAHAN LOT 1855),   ,July 2024,Freehold,75.00,sq.m,-,-,G,"RM295,000.00","Gombak, Malaysia",3.3,101.7,Yes,No,No,Yes,No,No,Yes,Yes,No
Low-Cost House,Kuala Muda,Bandar Sungai Lalang,TMN BISTARI JAYA,JLN BISTARI JAYA 1/1,March 2024,Freehold,102.00,sq.m,59,sq.m,    ,"RM190,000.00","JLN BISTARI JAYA 1/1, Kuala Muda, Malaysia",5.7154334,100.5220255,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
Low-Cost House,Hulu Langat,Ampang,TMN CAHAYA (AMPANG),JALAN CAHAYA 3,February 2024,Leasehold,65.03,sq.m,52,sq.m,    ,"RM345,000.00","JALAN CAHAYA 3, Hulu Langat, Malaysia",3.044203,101.7450067,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Seberang Perai Selatan,14,TAMAN ECO MEADOW,LORONG ECO MEADOW 15,June 2024,Freehold,130.00,sq.m,168,sq.m,    ,"RM815,000.00","LORONG ECO MEADOW 15, Seberang Perai Selatan, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Hulu Langat,Bandar Baru Bangi,TMN SEPAKAT INDAH,   ,January 2024,Freehold,86.00,sq.m,-,-,15,"RM290,000.00","Hulu Langat, Malaysia",3.083333,101.833333,Yes,Yes,No,No,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Pulai,TMN ALMA @ ETHOS RESIDENCE,OFF JLN SKUDAI - GELANG PATAH,January 2024,Freehold,358.60,sq.m,160,sq.m,    ,"RM992,000.00","OFF JLN SKUDAI - GELANG PATAH, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Petaling,Pekan Puchong Jaya,P/PURI VISTA LAVENDAR-TMN KINRARA SEK.3,   ,April 2024,Leasehold,79.43,sq.m,-,-,1,"RM200,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN TAMBUN PERWIRA, JLN BUKIT TAMBUN - DURIAN TUNGGAL,February 2024,Freehold,143.00,sq.m,90,sq.m,    ,"RM320,000.00","JLN BUKIT TAMBUN - DURIAN TUNGGAL, Alor Gajah, Malaysia",2.3276347,102.2906837,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
Low-Cost House,Maran,Luit,MARAN JAYA,JALAN TMJ. 1,June 2024,Leasehold,93.00,sq.m,51,sq.m,    ,"RM90,000.00","JALAN TMJ. 1, Maran, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Kota Tinggi,Kota Tinggi,TMN KOTA SELESA,JLN SUTERA SELESA 8,August 2024,Freehold,143.00,sq.m,157,sq.m,    ,"RM499,000.00","JLN SUTERA SELESA 8, Kota Tinggi, Malaysia",,,No,No,No,No,No,No,No,No,No
Flat,Kuala Lumpur,Mukim Batu,TMN INTAN BAIDURI,   ,June 2024,Leasehold,63.00,sq.m,-,-,2,"RM140,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Putrajaya,Bandar Putrajaya,PUTRAJAYA PRESINT 14,JALAN CENDANA P14/14,June 2024,Freehold,233.00,sq.m,311,sq.m,    ,"RM1,664,000.00","JALAN CENDANA P14/14, Putrajaya, Malaysia",2.9438844,101.7150799,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kinta,Ulu Kinta,TAMAN POLO LAGUNA @ TAMBUN,OFF JALAN AMPANG-JALAN TAMBUN,February 2024,Leasehold,130.00,sq.m,160,sq.m,    ,"RM439,000.00","OFF JALAN AMPANG-JALAN TAMBUN, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Keningau,Keningau,TMN JUTAYA,JLN KENINGAN-APIN-APIN,October 2024,Leasehold,280.60,sq.m,86,sq.m,    ,"RM445,000.00","JLN KENINGAN-APIN-APIN, Keningau, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Seremban,Ampangan,OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,CP FASA 1,May 2024,Freehold,130.10,sq.m,140,sq.m,    ,"RM669,000.00","CP FASA 1, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Johor Bahru,Plentong,BDR BARU PERMAS JAYA,   ,October 2024,Freehold,103.00,sq.m,-,-,18,"RM460,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kinta,Ulu Kinta,TMN DESA CHEMOR IMPIAN,JLN DESA CHEMOR IMPIAN,June 2024,Leasehold,132.90,sq.m,92,sq.m,    ,"RM368,000.00","JLN DESA CHEMOR IMPIAN, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Petaling,Damansara,SUBANG HEIGHTS,JLN SHT 1,January 2024,Freehold,714.00,sq.m,446,sq.m,    ,"RM3,450,000.00","JLN SHT 1, Petaling, Malaysia",3.0647669,101.5635901,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Bahagian Kuching,Bahagian Kuching,TABUAN JAYA,LORONG KEDANDI 4,February 2024,Leasehold,183.70,sq.m,125,sq.m,    ,"RM580,000.00","LORONG KEDANDI 4, Bahagian Kuching, Malaysia",1.524501,110.3757138,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Bkt Lintang,TAMAN BUKIT NIBONG DAMAI,JLN BND,March 2024,Freehold,143.00,sq.m,102,sq.m,    ,"RM290,000.00","JLN BND, Melaka Tengah, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Petaling,Pekan Baru Sg Buluh,PALM SPRING - SEK.13 KOTA DAMANSARA,   ,March 2024,Leasehold,112.00,sq.m,-,-,9,"RM670,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kubang Pasu,Bandar Kepala Batas,TAMAN WIRA MAS (NAGA),JLN WIRA 4,October 2024,Freehold,207.00,sq.m,69,sq.m,    ,"RM300,000.00","JLN WIRA 4, Kubang Pasu, Malaysia",6.2169366,100.3945166,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
Cluster House,Johor Bahru,Tebrau,SETIA TROPIKA,JLN SETIA TROPIKA 9/16,April 2024,Freehold,334.00,sq.m,283,sq.m,    ,"RM1,400,000.00","JLN SETIA TROPIKA 9/16, Johor Bahru, Malaysia",1.5459615,103.7183802,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Petaling,Bukit Raja,BANDAR SETIA ALAM,JLN SETIA IMPIAN U13/3N,March 2024,Freehold,121.00,sq.m,126,sq.m,    ,"RM570,000.00","JLN SETIA IMPIAN U13/3N, Petaling, Malaysia",3.0963361,101.4541195,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Cheras,BDR MAHKOTA CHERAS,JLN PUTERA 7/1,May 2024,Freehold,289.00,sq.m,128,sq.m,    ,"RM1,000,000.00","JLN PUTERA 7/1, Hulu Langat, Malaysia",3.0469307,101.7863465,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Plentong,TMN KOTA MASAI,JLN BACANG 23,October 2024,Freehold,130.00,sq.m,74,sq.m,    ,"RM420,000.00","JLN BACANG 23, Johor Bahru, Malaysia",1.4924637,103.9249407,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Sungai Petani,PRIMA SP BAIDURI (SP 1),JLN PRIMA 25,February 2024,Freehold,131.00,sq.m,69,sq.m,    ,"RM270,000.00","JLN PRIMA 25, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Johor Bahru,Pulai,TMN SUTERA UTAMA,   ,January 2024,Freehold,150.00,sq.m,-,-,1,"RM1,114,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kinta,Ulu Kinta,TMN ANJUNG BERCHAM MEGAH,HALUAN TASEK TIMUR 9,May 2024,Freehold,139.00,sq.m,142,sq.m,    ,"RM345,000.00","HALUAN TASEK TIMUR 9, Kinta, Malaysia",4.6462543,101.1213008,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Semi-Detached,Kota Bahru,Bayang,KG BAUNG BAYANG,OFF JLN GUCHIL - BAYAM,September 2024,Freehold,519.00,sq.m,143,sq.m,    ,"RM530,000.00","OFF JLN GUCHIL - BAYAM, Kota Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuantan,Hulu Lepar,TMN. GAMBANG DAMAI / DESA HIJAUAN,LRG GD 1/19,June 2024,Leasehold,111.00,sq.m,69,sq.m,    ,"RM200,000.00","LRG GD 1/19, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Hulu Langat,Bandar Semenyih,KG BARU SEMENYIH,JALAN TUJUH,April 2024,Leasehold,441.11,sq.m,150,sq.m,    ,"RM320,000.00","JALAN TUJUH, Hulu Langat, Malaysia",3.1504688,101.7420284,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Gombak,Bandar Selayang,TAMAN BUKIT IDAMAN,JALAN BKT IDAMAN 1,August 2024,Leasehold,89.00,sq.m,77,sq.m,    ,"RM460,000.00","JALAN BKT IDAMAN 1, Gombak, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Rembau,Selemak,TMN SERAYA REMBAU,JLN REMBAU -TAMPIN(TMN SERAYA),May 2024,Freehold,243.00,sq.m,98,sq.m,    ,"RM311,000.00","JLN REMBAU -TAMPIN(TMN SERAYA), Rembau, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Hulu Langat,Pekan Bangi Lama,BDR SRI PUTRA,JLN SRI PUTRA 8/7,June 2024,Freehold,964.00,sq.m,246,sq.m,    ,"RM2,065,000.00","JLN SRI PUTRA 8/7, Hulu Langat, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,TMN MEGAH RIA,JLN JELATANG 26,June 2024,Freehold,143.07,sq.m,130,sq.m,    ,"RM550,000.00","JLN JELATANG 26, Johor Bahru, Malaysia",1.4857328,103.8512946,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Langat,Pekan Telok Datuk,LAMAN ASPIRASI (BANTING),JALAN ASPIRASI 2/7,June 2024,Freehold,130.06,sq.m,74,sq.m,    ,"RM180,000.00","JALAN ASPIRASI 2/7, Kuala Langat, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kulim,Bandar Kulim,TMN MERANTI,JLN. JELUTONG 1,January 2024,Freehold,130.00,sq.m,89,sq.m,    ,"RM285,000.00","JLN. JELUTONG 1, Kulim, Malaysia",5.3643951,100.5405116,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
